дата,смена,час,тип_данных,значение,агрегат
2026-01-01,1,среднее,производительность_итого,1025.1979999999999,всего
2026-01-01,1,,счетчик_начало,21.0,мельница_1
2026-01-01,1,,счетчик_конец,510168.7,мельница_1
2026-01-01,1,,переработка,510645.7,мельница_1
2026-01-01,1,,счетчик_начало,22.0,мельница_2
2026-01-01,1,,счетчик_конец,810050.111,мельница_2
2026-01-01,1,,переработка,810050.111,мельница_2
2026-01-01,1,,счетчик_начало,23.0,мельница_3
2026-01-01,1,,счетчик_конец,502129.0,мельница_3
2026-01-01,1,,переработка,502531.0,мельница_3
2026-01-01,1,,счетчик_начало,24.0,мельница_4
2026-01-01,1,,счетчик_конец,8613.78,мельница_4
2026-01-01,1,,переработка,8759.978000000001,мельница_4
2026-01-01,1,,счетчик_начало,1.0,мельница_5
2026-01-01,1,,счетчик_начало,2.0,мельница_6
2026-01-01,1,,загрузка_шаров_диаметр,60.0,мельница_1
2026-01-01,1,,загрузка_шаров_вес,0.2,мельница_1
2026-01-01,1,,загрузка_шаров_примечание,новые,мельница_1
2026-01-01,1,,загрузка_шаров_диаметр,30.0,мельница_2
2026-01-01,1,,загрузка_шаров_вес,0.15,мельница_2
2026-01-01,1,,загрузка_шаров_примечание,новые,мельница_2
2026-01-01,1,,загрузка_шаров_диаметр,60.0,мельница_4
2026-01-01,1,,загрузка_шаров_вес,0.2,мельница_4
2026-01-01,1,,загрузка_шаров_примечание,новые,мельница_4
2026-01-01,1,,загрузка_шаров_диаметр,60.0,мельница_5
2026-01-01,1,,загрузка_шаров_вес,0.1,мельница_5
2026-01-01,1,,загрузка_шаров_примечание,новые,мельница_5
2026-01-01,1,,простой_начало,20:00:00,мельница_3
2026-01-01,1,,простой_конец,08:00:00,мельница_3
2026-01-01,1,,простой_длительность,12часов,мельница_3
2026-01-01,1,,простой_причина,МШР стоит - ППР.,мельница_3
2026-01-01,1,,мкр_остаток_начало,73.0,МКР
2026-01-01,1,,мкр_выпуск,10.0,МКР
2026-01-01,1,,мкр_остаток_конец,83.0,МКР
2026-01-01,1,21:00,ph,10.18,ГЦ_1
2026-01-01,1,23:00,ph,10.09,ГЦ_1
2026-01-01,1,03:00,ph,9.1,ГЦ_1
2026-01-01,1,05:00,ph,9.5,ГЦ_1
2026-01-01,1,07:00,ph,9.97,ГЦ_1
2026-01-01,1,среднее,ph_ср,9.743333333333332,ГЦ_1
2026-01-01,2,9,производительность,43.3,мельница_1
2026-01-01,2,9,производительность,0.0,мельница_2
2026-01-01,2,9,производительность,0.0,мельница_3
2026-01-01,2,9,производительность,34.0,мельница_4
2026-01-01,2,9,производительность,10.844,мельница_5
2026-01-01,2,9,производительность,88.14399999999999,всего
2026-01-01,2,9,выпуск_мкр,1.0,МКР
2026-01-01,2,10,производительность,43.3,мельница_1
