Дата	Номинальный ежедневный расход	показание счетчика	Фактический расход за сутки	Расход в час
2025-03-01 00:00:00	483.8709677419355	976854.187	492.82	20.534166666666668
2025-03-02 00:00:00	483.8709677419355	977547.307	693.1199999999953	28.879999999999807
2025-03-03 00:00:00	483.8709677419355	978085.819	538.5119999999879	22.437999999999494
2025-03-04 00:00:00	483.8709677419355	978551.123	465.3040000000037	19.38766666666682
2025-03-05 00:00:00	483.8709677419355	980596.623	2045.5	85.22916666666667
2025-03-06 00:00:00	483.8709677419355	984803.775	4207.152000000002	175.2980000000001
2025-03-07 00:00:00	483.8709677419355	988608.316	3804.5409999999683	158.52254166666535
2025-03-08 00:00:00	483.8709677419355	989926.472	1318.155999999959	54.92316666666496
2025-03-09 00:00:00	483.8709677419355	990323.476	397.0040000000736	16.5418333333364
2025-03-10 00:00:00	483.8709677419355	990589.232	265.75599999993574	11.073166666663989
2025-03-11 00:00:00	483.8709677419355	992829.296	2240.064000000013	93.33600000000054
2025-03-12 00:00:00	483.8709677419355	994100.1	1270.8040000000037	52.950166666666824
2025-03-13 00:00:00	483.8709677419355	995022.932	922.8320000000531	38.45133333333555
2025-03-14 00:00:00	483.8709677419355	996196.776	1173.8439999999246	48.91016666666352
2025-03-15 00:00:00	483.8709677419355	997499.876	1303.1000000000931	54.295833333337214
2025-03-16 00:00:00	483.8709677419355	998986.712	1486.8360000000102	61.95150000000043
2025-03-17 00:00:00	483.8709677419355	999698.485	711.7729999999283	29.657208333330345
2025-03-18 00:00:00	483.8709677419355	810.185	1102.7	45.94583333333333
2025-03-19 00:00:00	483.8709677419355	2177.633	1367.4479999999999	56.977
2025-03-20 00:00:00	483.8709677419355	3470.769	1293.136	53.88066666666666
2025-03-21 00:00:00	483.8709677419355	4685.117	1214.3480000000004	50.59783333333335
2025-03-22 00:00:00	483.8709677419355	5653.997	968.8800000000001	40.370000000000005
2025-03-23 00:00:00	483.8709677419355	6273.001	619.0039999999999	25.79183333333333
2025-03-24 00:00:00	483.8709677419355	6953.105	680.1039999999994	28.33766666666664
2025-03-25 00:00:00	483.8709677419355	7812.385	859.2800000000007	35.80333333333336
2025-03-26 00:00:00	483.8709677419355	8724.569	912.1839999999993	38.00766666666664
2025-03-27 00:00:00	483.8709677419355	9855.565	1130.996000000001	47.12483333333338
2025-03-28 00:00:00	483.8709677419355	10978.697	1123.1319999999996	46.79716666666665
2025-03-29 00:00:00	483.8709677419355	12138.694	1159.9969999999994	48.33320833333331
2025-03-30 00:00:00	483.8709677419355	13194.362	1055.6679999999997	43.986166666666655
2025-03-31 00:00:00	483.8709677419355	14430.434	1236.0720000000001	51.50300000000001
2025-04-01 00:00:00	483.8709677419355	15046.35	615.9160000000011	25.66316666666671
2025-04-02 00:00:00	483.8709677419355	15505.57	459.21999999999935	19.13416666666664
2025-04-03 00:00:00	483.8709677419355	15718.738	213.16799999999967	8.881999999999985
2025-04-04 00:00:00	483.8709677419355	18136.57	2417.8320000000003	100.74300000000001
2025-04-05 00:00:00	483.8709677419355	21719.23	3582.66	149.2775
2025-04-06 00:00:00	483.8709677419355	25490.751	3771.5210000000006	157.14670833333335
2025-04-07 00:00:00	483.8709677419355	28439.083	2948.3319999999985	122.84716666666661
2025-04-08 00:00:00	483.8709677419355	30173.595	1734.5120000000024	72.27133333333343
2025-04-09 00:00:00	483.8709677419355	30664.179	490.5839999999989	20.440999999999956
2025-04-10 00:00:00	483.8709677419355	31541.147	876.9680000000008	36.540333333333365
2025-04-11 00:00:00	483.8709677419355	31956.215	415.0679999999993	17.29449999999997
2025-04-12 00:00:00	483.8709677419355	32633.827	677.612000000001	28.233833333333376
2025-04-13 00:00:00	483.8709677419355	33204.751	570.9239999999954	23.78849999999981
2025-04-14 00:00:00	483.8709677419355	33524.419	319.6680000000051	13.319500000000213
2025-04-15 00:00:00	483.8709677419355	33839.347	314.9279999999999	13.121999999999995
2025-04-16 00:00:00	483.8709677419355	34566.255	726.9079999999958	30.287833333333158
2025-04-17 00:00:00	483.8709677419355	35343.987	777.7320000000036	32.40550000000015
2025-04-18 00:00:00	483.8709677419355	35847.691	503.7039999999979	20.98766666666658
2025-04-19 00:00:00	483.8709677419355	36570.337	722.6460000000006	30.110250000000025
2025-04-20 00:00:00	483.8709677419355	37066.292	495.95500000000175	20.66479166666674
2025-04-21 00:00:00	483.8709677419355	37744.16	677.8680000000022	28.24450000000009
2025-04-22 00:00:00	483.8709677419355	38040.412	296.25199999999313	12.343833333333047
2025-04-23 00:00:00	483.8709677419355	40036.132	1995.7200000000012	83.15500000000004
2025-04-24 00:00:00	483.8709677419355	43413.896	3377.764000000003	140.7401666666668
2025-04-25 00:00:00	483.8709677419355	44305.084	891.1880000000019	37.132833333333416
2025-04-26 00:00:00	483.8709677419355	46354.084	2049	85.375
2025-04-27 00:00:00	483.8709677419355	46354.564	0.47999999999592546	0.019999999999830226
2025-04-28 00:00:00	483.8709677419355	48599.084	2244.520000000004	93.52166666666683
2025-04-29 00:00:00	483.8709677419355	51213.877	2614.792999999998	108.94970833333325
2025-04-30 00:00:00	483.8709677419355	52603.161	1389.2839999999997	57.88683333333332
2025-05-01 00:00:00	483.8709677419355	53468.321	865.1600000000035	36.04833333333348
2025-05-02 00:00:00	483.8709677419355	56093.021	2624.699999999997	109.36249999999988
2025-05-03 00:00:00	483.8709677419355	58250.677	2157.6560000000027	89.90233333333344
2025-05-04 00:00:00	483.8709677419355	60951.202	2700.524999999994	112.52187499999975
2025-05-05 00:00:00	483.8709677419355	62570.194	1618.9920000000056	67.45800000000024
2025-05-06 00:00:00	483.8709677419355	64736.95	2166.755999999994	90.28149999999975
2025-05-07 00:00:00	483.8709677419355	66338.474	1601.524000000005	66.73016666666688
2025-05-08 00:00:00	483.8709677419355	68522.378	2183.903999999995	90.9959999999998
2025-05-09 00:00:00	483.8709677419355	69875.138	1352.7600000000093	56.365000000000386
2025-05-10 00:00:00	483.8709677419355	71516.642	1641.5040000000008	68.39600000000003
2025-05-11 00:00:00	483.8709677419355	75070.255	3553.6129999999976	148.06720833333324
2025-05-12 00:00:00	483.8709677419355	78070.255	3000	125
2025-05-13 00:00:00	483.8709677419355	82340.247	4269.991999999998	177.91633333333326
2025-05-14 00:00:00	483.8709677419355	86144.295	3804.047999999995	158.5019999999998
2025-05-15 00:00:00	483.8709677419355	89801.692	3657.396999999997	152.39154166666654
2025-05-16 00:00:00	483.8709677419355	93535.908	3734.2160000000003	155.59233333333336
2025-05-17 00:00:00	483.8709677419355	97159.68	3623.771999999997	150.99049999999988
2025-05-18 00:00:00	483.8709677419355	100865.621	3705.941000000006	154.4142083333336
2025-05-19 00:00:00	483.8709677419355	104571.593	3705.9719999999943	154.41549999999975
2025-05-20 00:00:00	483.8709677419355	107219.573	2647.9800000000105	110.33250000000044
2025-05-21 00:00:00	483.8709677419355	110758.097	3538.5239999999903	147.4384999999996
2025-05-22 00:00:00	483.8709677419355	114104.066	3345.969000000012	139.4153750000005
2025-05-23 00:00:00	483.8709677419355	117779.97	3675.903999999995	153.16266666666647
2025-05-24 00:00:00	483.8709677419355	121640.618	3860.648000000001	160.8603333333334
2025-05-25 00:00:00	483.8709677419355	125526.599	3885.9809999999998	161.915875
2025-05-26 00:00:00	483.8709677419355	129209.463	3682.8640000000014	153.45266666666672
2025-05-27 00:00:00	483.8709677419355	133037.659	3828.196000000011	159.5081666666671
2025-05-28 00:00:00	483.8709677419355	136801.612	3763.9529999999795	156.83137499999916
2025-05-29 00:00:00	483.8709677419355	140673.66	3872.04800000001	161.33533333333375
2025-05-30 00:00:00	483.8709677419355	144194.348	3520.6879999999946	146.6953333333331
2025-05-31 00:00:00	483.8709677419355	147890.728	3696.3800000000047	154.01583333333352
2025-06-01 00:00:00	3333	151746.293	3855.56	160.64833333333334
2025-06-02 00:00:00	3333	155452.773	3706.48499999999	154.4368749999996
2025-06-03 00:00:00	3333	159297.821	3845.04800000001	160.21033333333375
2025-06-04 00:00:00	3333	163114.085	3816.2639999999956	159.01099999999983
2025-06-05 00:00:00	3333	166790.274	3676.189000000013	153.1745416666672
2025-06-06 00:00:00	3333	170637.37	3847.0959999999905	160.29566666666628
2025-06-07 00:00:00	3333	174360.23	3722.860000000015	155.1191666666673
2025-06-08 00:00:00	3333	178153.378	3793.1479999999865	158.04783333333276
2025-06-09 00:00:00	3333	181923.427	3770.048999999999	157.08537499999997
2025-06-10 00:00:00	3333	185638.643	3715.216000000015	154.8006666666673
2025-06-11 00:00:00	3333	189632.555	3993.911999999982	166.41299999999924
2025-06-12 00:00:00	3333	193179.331	3546.7760000000126	147.78233333333387
2025-06-13 00:00:00	3333	196952.864	3773.532999999996	157.23054166666648
2025-06-14 00:00:00	3333	200708.304	3755.4400000000023	156.47666666666677
2025-06-15 00:00:00	3333	204448.356	3740.051999999996	155.83549999999983
2025-06-16 00:00:00	3333	208752.729	4304.372999999992	179.34887499999968
2025-06-17 00:00:00	3333	211904.533	3151.8040000000037	131.32516666666683
2025-06-18 00:00:00	3333	215661.773	3757.2399999999907	156.55166666666628
2025-06-19 00:00:00	3333	215661.773	0	0
2025-06-20 00:00:00	3333	215661.773	0	0
2025-06-21 00:00:00	3333	218206.165	2544.3920000000217	106.01633333333423
2025-06-22 00:00:00	3333	222039.306	3833.1410000000033	159.71420833333346
